City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
113,Hovd,MN,48.0056,91.6419,68.86,51,44,2.89,scattered clouds,2021-07-23 19:45:22
114,Ried,DE,48.477,11.2606,72.36,78,3,4.88,clear sky,2021-07-23 19:45:22
115,Ruiru,KE,-1.1606,36.9567,67.23,63,75,5.75,broken clouds,2021-07-23 19:45:23
116,Ivanava,BY,52.1451,25.5365,62.89,75,55,3.47,broken clouds,2021-07-23 19:45:23
117,Damara,CF,4.9608,18.7035,81.82,87,100,1.19,light rain,2021-07-23 19:45:23
118,Mufumbwe,ZM,-13.6833,24.8,58.69,38,67,5.19,broken clouds,2021-07-23 19:45:24
119,Tiksi,RU,71.6872,128.8694,42.66,87,96,5.21,overcast clouds,2021-07-23 19:45:24
120,Mbigou,GA,-1.9005,11.906,68.0,89,100,3.2,light rain,2021-07-23 19:45:24
121,Naze,JP,28.3667,129.4833,77.74,89,100,28.92,light rain,2021-07-23 19:45:25
122,Cherskiy,RU,68.75,161.3,48.22,67,0,6.46,clear sky,2021-07-23 19:45:25
123,Krasnoselkup,RU,65.7,82.4667,70.38,67,100,25.97,overcast clouds,2021-07-23 19:45:26
124,Nizhnevartovsk,RU,60.9344,76.5531,73.42,56,0,6.71,clear sky,2021-07-23 19:45:26
125,Trincomalee,LK,8.5711,81.2335,81.28,72,100,23.17,overcast clouds,2021-07-23 19:45:26
126,Palana,RU,59.1167,159.9667,52.7,90,100,6.64,overcast clouds,2021-07-23 19:45:26
127,Chokurdakh,RU,70.6333,147.9167,39.02,74,66,12.19,broken clouds,2021-07-23 19:45:27
128,Port Blair,IN,11.6667,92.75,81.32,84,100,21.47,overcast clouds,2021-07-23 19:45:27
129,Hualmay,PE,-11.0964,-77.6139,67.12,74,17,11.86,few clouds,2021-07-23 19:34:57
130,La Ronge,CA,55.1001,-105.2842,62.82,67,90,8.05,overcast clouds,2021-07-23 19:45:27
131,Pontevedra,ES,42.431,-8.6444,67.1,94,42,4.23,scattered clouds,2021-07-23 19:45:28
132,Humaita,BR,-7.5061,-63.0208,98.2,22,22,3.71,few clouds,2021-07-23 19:45:28
133,Cukai,MY,4.25,103.4167,78.94,81,100,1.25,overcast clouds,2021-07-23 19:45:28
134,Ostrovnoy,RU,68.0531,39.5131,42.98,93,100,20.45,overcast clouds,2021-07-23 19:45:29
135,Areosa,PT,41.7178,-8.8571,67.68,92,0,3.98,clear sky,2021-07-23 19:45:29
136,Candolim,IN,15.5181,73.7626,81.19,82,100,18.84,overcast clouds,2021-07-23 19:45:29
137,Pangody,RU,65.85,74.4859,50.86,91,100,22.17,overcast clouds,2021-07-23 19:45:29
138,Port Alfred,ZA,-33.5906,26.891,53.28,66,100,4.45,light rain,2021-07-23 19:45:30
139,Abbeville,FR,50.1,1.8333,73.49,69,100,12.03,overcast clouds,2021-07-23 19:41:30
140,Tessalit,ML,20.1986,1.0114,89.26,38,60,15.95,broken clouds,2021-07-23 19:45:30
141,Sobolevo,RU,54.4299,31.8996,58.15,91,13,5.68,few clouds,2021-07-23 19:45:31
142,Hailun,CN,47.45,126.9333,68.47,84,48,10.36,scattered clouds,2021-07-23 19:45:31
143,Viedma,AR,-40.8135,-62.9967,53.76,39,89,15.12,overcast clouds,2021-07-23 19:35:45
144,North Bend,US,43.4065,-124.2243,82.24,60,1,14.97,clear sky,2021-07-23 19:45:31
145,Isangel,VU,-19.55,169.2667,75.49,86,8,4.61,clear sky,2021-07-23 19:45:32
146,Sabalgarh,IN,26.25,77.4,85.41,75,100,7.34,heavy intensity rain,2021-07-23 19:45:32
147,Grindavik,IS,63.8424,-22.4338,55.56,100,90,13.8,drizzle,2021-07-23 19:45:32
148,Vrangel,RU,42.7297,133.0839,73.51,93,61,5.39,broken clouds,2021-07-23 19:45:32
149,Bengkulu,ID,-3.8004,102.2655,75.11,85,40,3.06,scattered clouds,2021-07-23 19:45:33
150,Eyl,SO,7.9803,49.8164,78.3,72,51,26.84,broken clouds,2021-07-23 19:45:33
151,Zhigalovo,RU,54.8097,105.1578,51.71,97,0,0.89,clear sky,2021-07-23 19:45:33
152,Kahului,US,20.8947,-156.47,80.62,82,40,18.41,scattered clouds,2021-07-23 19:42:22
153,Makakilo City,US,21.3469,-158.0858,82.72,70,75,10.36,broken clouds,2021-07-23 19:36:18
154,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,69,20,19.57,few clouds,2021-07-23 19:35:49
155,Carnduff,CA,49.1667,-101.8009,85.37,20,2,8.48,clear sky,2021-07-23 19:45:34
156,Kamenka,RU,51.3223,42.7678,62.37,60,0,5.1,clear sky,2021-07-23 19:35:45
157,Forest,US,37.3638,-79.2897,87.93,50,75,3.0,broken clouds,2021-07-23 19:45:34
158,Saint-Pierre,RE,-21.3393,55.4781,67.68,67,20,8.05,few clouds,2021-07-23 19:45:35
159,College,US,64.8569,-147.8028,73.2,72,75,0.0,broken clouds,2021-07-23 19:43:12
160,Sao Filipe,CV,14.8961,-24.4956,73.6,77,7,11.01,clear sky,2021-07-23 19:32:32
161,Vidim,RU,56.4088,103.1106,54.9,96,6,3.0,clear sky,2021-07-23 19:45:35
162,Bonthe,SL,7.5264,-12.505,74.66,96,100,12.35,heavy intensity rain,2021-07-23 19:45:35
163,Victoria,HK,22.2855,114.1577,85.96,87,84,1.01,broken clouds,2021-07-23 19:42:21
164,Daru,PG,-9.0763,143.2092,75.99,84,100,7.65,overcast clouds,2021-07-23 19:45:36
165,Anadyr,RU,64.75,177.4833,55.9,87,40,8.01,light rain,2021-07-23 19:45:36
166,Pinawa,CA,50.1489,-95.8811,95.22,29,100,10.49,overcast clouds,2021-07-23 19:45:37
167,Georgetown,MY,5.4112,100.3354,83.89,87,20,3.0,few clouds,2021-07-23 19:45:11
168,Oktyabrskoye,RU,43.0645,44.7417,64.54,93,100,6.71,light rain,2021-07-23 19:45:37
169,Swakopmund,NA,-22.6833,14.5333,70.65,73,0,8.05,clear sky,2021-07-23 19:45:37
170,Shiraoi,JP,42.55,141.35,71.2,96,99,3.58,overcast clouds,2021-07-23 19:45:38
171,Vostok,RU,46.4856,135.8833,69.71,84,100,3.62,overcast clouds,2021-07-23 19:33:53
172,Pevek,RU,69.7008,170.3133,41.5,76,100,5.84,overcast clouds,2021-07-23 19:43:46
173,Noyabrsk,RU,63.1994,75.4507,54.07,91,100,11.03,overcast clouds,2021-07-23 19:45:38
174,Terra Santa,BR,-2.1042,-56.4869,93.85,36,66,6.91,broken clouds,2021-07-23 19:45:38
175,Muros,ES,42.7762,-9.0603,67.08,85,38,8.77,scattered clouds,2021-07-23 19:36:43
176,Boyolangu,ID,-8.1181,111.8935,73.58,87,59,5.46,broken clouds,2021-07-23 19:45:39
177,Salta,AR,-24.7859,-65.4117,81.19,24,0,4.0,clear sky,2021-07-23 19:45:39
178,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,40,6.91,scattered clouds,2021-07-23 19:43:18
179,Cidreira,BR,-30.1811,-50.2056,62.46,74,1,8.43,clear sky,2021-07-23 19:45:40
180,Isla Vista,US,34.4133,-119.861,90.91,64,1,8.05,clear sky,2021-07-23 19:45:40
181,Atar,MR,20.5169,-13.0499,96.03,20,2,9.86,clear sky,2021-07-23 19:44:04
182,Tuy Hoa,VN,13.0833,109.3,81.79,69,100,14.88,overcast clouds,2021-07-23 19:45:40
