City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Torbay,CA,2021-07-20 15:03:22,47.6666,-52.7314,74.68,91,75,12.66
149,Egvekinot,RU,2021-07-20 15:06:08,66.3167,-179.1667,34.61,94,100,10.89
150,Pochutla,MX,2021-07-20 15:06:08,15.7432,-96.4661,86.83,55,80,2.48
151,Rio Grande,BR,2021-07-20 15:01:55,-32.035,-52.0986,54.95,55,0,8.16
152,Yar-Sale,RU,2021-07-20 15:06:09,66.8333,70.8333,70.0,49,98,12.01
153,Ewing,US,2021-07-20 15:05:08,40.2698,-74.7999,85.89,69,1,4.61
154,Tevaitoa,PF,2021-07-20 15:06:09,-16.7833,-151.5,79.14,73,80,24.63
155,Taoudenni,ML,2021-07-20 15:06:10,22.6783,-3.9836,120.2,6,66,6.15
156,Longhua,CN,2021-07-20 15:06:10,23.6137,114.1919,75.07,98,100,2.1
157,Arraial Do Cabo,BR,2021-07-20 15:06:10,-22.9661,-42.0278,69.66,56,75,17.27
158,Dhidhdhoo,MV,2021-07-20 15:06:11,6.8833,73.1,82.69,76,87,13.78
159,Clyde River,CA,2021-07-20 15:06:11,70.4692,-68.5914,37.63,100,90,10.36
160,Linxia,CN,2021-07-20 15:06:11,35.6003,103.2064,65.34,76,2,2.21
161,Kamenka,RU,2021-07-20 15:06:12,51.3223,42.7678,79.66,61,50,10.33
162,Romitan,UZ,2021-07-20 15:06:12,39.9343,64.3814,93.15,24,40,11.5
163,Gazojak,TM,2021-07-20 15:06:13,41.1875,61.4036,102.63,12,56,17.81
164,Grand-Lahou,CI,2021-07-20 15:01:14,5.1367,-5.0242,78.64,72,91,9.69
165,Georgetown,MY,2021-07-20 15:06:13,5.4112,100.3354,84.88,70,20,2.3
166,Sur,OM,2021-07-20 15:06:13,22.5667,59.5289,97.05,49,60,8.99
167,Cap Malheureux,MU,2021-07-20 15:06:14,-19.9842,57.6142,69.48,82,68,8.99
168,Butwal,NP,2021-07-20 15:06:14,27.7006,83.4484,79.12,92,91,1.88
169,Kulhudhuffushi,MV,2021-07-20 15:06:15,6.6221,73.07,82.71,76,57,13.78
170,Zhigansk,RU,2021-07-20 15:06:15,66.7697,123.3711,56.79,76,100,8.68
171,Henties Bay,NA,2021-07-20 15:06:15,-22.116,14.2845,61.86,79,11,16.11
172,Aksarka,RU,2021-07-20 15:06:16,66.5606,67.7975,72.95,46,54,13.38
173,Springbok,ZA,2021-07-20 15:06:16,-29.6643,17.8865,43.38,61,40,11.5
174,Bambous Virieux,MU,2021-07-20 15:06:16,-20.3428,57.7575,69.22,77,86,22.77
175,Narsaq,GL,2021-07-20 15:06:17,60.9167,-46.05,53.82,90,100,1.54
176,Bereda,ES,2021-07-20 15:06:17,43.2686,-7.5406,66.88,31,3,5.64
177,Durham,US,2021-07-20 15:01:36,36.0335,-78.8664,82.22,80,75,4.61
178,Zimovniki,RU,2021-07-20 15:06:17,47.1483,42.4633,99.03,20,20,5.93
179,Zhuhai,CN,2021-07-20 15:06:18,22.2769,113.5678,82.11,89,40,14.97
180,Tautira,PF,2021-07-20 15:06:18,-17.7333,-149.15,73.42,81,38,23.42
181,Sao Joao Da Barra,BR,2021-07-20 15:06:18,-21.6403,-41.0511,73.49,45,2,17.45
182,Gushikawa,JP,2021-07-20 15:06:19,26.3544,127.8686,80.19,83,75,37.98
183,Kuching,MY,2021-07-20 15:06:19,1.55,110.3333,80.82,89,20,3.44
184,Khatanga,RU,2021-07-20 15:06:19,71.9667,102.5,55.31,76,92,9.69
185,La Ronge,CA,2021-07-20 15:06:20,55.1001,-105.2842,61.74,57,1,5.46
186,Batagay-Alyta,RU,2021-07-20 15:06:20,67.8006,130.4114,54.55,78,90,4.21
187,Taksimo,RU,2021-07-20 15:02:14,56.3444,114.8794,58.66,91,1,3.67
188,Muskegon,US,2021-07-20 15:06:20,43.3,-86.1334,81.93,74,1,8.05
189,Verkhoyansk,RU,2021-07-20 15:06:21,67.5447,133.385,61.11,66,100,10.69
190,Port Hardy,CA,2021-07-20 15:06:21,50.6996,-127.4199,57.09,89,76,2.19
191,Nishihara,JP,2021-07-20 15:06:21,26.1842,127.7558,80.26,83,75,28.77
192,Zhanaozen,KZ,2021-07-20 15:06:21,43.3,52.8,98.65,14,0,12.91
193,Mayna,RU,2021-07-20 15:06:22,54.1135,47.6231,65.23,91,100,6.15
194,Xam Nua,LA,2021-07-20 15:06:22,20.4197,104.0439,67.91,99,100,2.04
195,Atikokan,CA,2021-07-20 15:06:04,48.7555,-91.6216,67.71,43,0,7.34
196,Talakan,RU,2021-07-20 15:06:22,50.3167,130.3667,70.88,96,85,2.93
197,Porbandar,IN,2021-07-20 15:06:23,21.6422,69.6093,83.46,82,100,23.85
198,Acapulco,MX,2021-07-20 15:06:23,16.8634,-99.8901,84.02,65,40,5.75
199,Alta Floresta,BR,2021-07-20 15:06:23,-9.8756,-56.0861,88.77,24,1,7.09
200,Broome,US,2021-07-20 15:06:24,42.2506,-75.833,79.2,87,1,1.99
201,Upernavik,GL,2021-07-20 15:06:24,72.7868,-56.1549,40.19,90,100,21.97
202,Vestmannaeyjar,IS,2021-07-20 15:06:24,63.4427,-20.2734,54.59,87,90,21.85
203,Mazatlan,MX,2021-07-20 15:06:25,23.2167,-106.4167,82.36,85,20,1.99
204,Gourdon,FR,2021-07-20 15:06:25,44.75,1.5,90.01,37,2,1.5
205,Ponta Do Sol,PT,2021-07-20 15:06:25,32.6667,-17.1,77.72,69,1,1.28
206,Tagab,AF,2021-07-20 15:06:25,34.855,69.6492,84.11,55,94,3.02
207,Bredasdorp,ZA,2021-07-20 15:06:26,-34.5322,20.0403,51.28,79,88,10.87
