City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
139,Abbeville,FR,73.49,overcast clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
140,Tessalit,ML,89.26,broken clouds,20.1986,1.0114,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
144,North Bend,US,82.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
145,Isangel,VU,75.49,clear sky,-19.55,169.2667,Tanna Lodge
146,Sabalgarh,IN,85.41,heavy intensity rain,26.25,77.4,Kailadevi studio
148,Vrangel,RU,73.51,broken clouds,42.7297,133.0839,"Отель ""БАЛИ"""
149,Bengkulu,ID,75.11,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
150,Eyl,SO,78.3,broken clouds,7.9803,49.8164,Amiin Hotel
152,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
153,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
154,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
155,Carnduff,CA,85.37,clear sky,49.1667,-101.8009,Western Star All Suites Hotel Carnduff
157,Forest,US,87.93,broken clouds,37.3638,-79.2897,Days inn
159,College,US,73.2,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
160,Sao Filipe,CV,73.6,clear sky,14.8961,-24.4956,Hotel Xaguate
162,Bonthe,SL,74.66,heavy intensity rain,7.5264,-12.505,Bonthe Holiday Village
163,Victoria,HK,85.96,broken clouds,22.2855,114.1577,Mini Hotel Central
164,Daru,PG,75.99,overcast clouds,-9.0763,143.2092,Daru Lodge
167,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
170,Shiraoi,JP,71.2,overcast clouds,42.55,141.35,Pirika Rera Hotel
176,Boyolangu,ID,73.58,broken clouds,-8.1181,111.8935,Yos ega cv
177,Salta,AR,81.19,clear sky,-24.7859,-65.4117,Hotel Alejandro I
178,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
182,Tuy Hoa,VN,81.79,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
